Name,Covering,Drying_Temp,Mold_Substrate,Film#,OTR_mean,OTR_std,OP_mean,OP_std,WVTR_mean,WVTR_std,N_WVTR_mean,N_WVTR_std,Thickness_mean,Thickness_std
1:1 CNC/ChNF-L/20CA-120-3,1.0,60.0,ps,2,6.09,1.77,3.0,0.85,787.5,0.71,39.0,0.0,50.0,0.0
1:1 CNC/ChNF-L/30CA,1.0,60.0,ps,2,1.25,0.21,0.48,0.08,579.0,43.84,22.5,2.12,39.0,0.0
1:1 CNC/ChNF-L/50CA,1.0,60.0,ps,1,1.43,0.0,0.76,0.0,696.0,0.0,38.0,0.0,54.0,0.0
1:1 CNC/ChNF-L/Ca,1.0,23.0,ps,2,4.19,1.4,1.8,0.57,2840.0,100.0,112.0,2.94,41.17,2.64
1:1 CNC/ChNF-M,1.0,23.0,ps,3,2.47,0.33,0.82,0.08,2525.0,237.97,80.17,3.06,32.3,2.06
1:1 CNC/ChNF-M-120-3,1.0,23.0,ps,3,0.81,0.0,0.28,0.0,2130.0,67.23,71.33,1.75,33.71,0.76
1:1 CNC/ChNF-M-150-3,1.0,23.0,ps,2,59.93,20.69,19.33,7.02,1360.0,42.43,46.0,1.41,33.4,0.55
1:1 CNC/ChNF-M/Ca,1.0,23.0,ps,3,4.51,0.91,1.6,0.3,3200.0,146.29,106.67,4.72,33.92,1.16
1:1 CNC/ChNF-M/Ca-1-20,1.0,23.0,ps,2,19.19,21.57,7.4,8.31,2513.33,20.82,95.67,0.58,38.83,0.98
1:1 CNC/ChNF-M/Ca-120-3,1.0,23.0,ps,3,8.49,9.49,2.9,3.25,2230.0,75.5,75.67,2.52,34.4,0.55
1:1 CNC/ChNF-M/Ca-150-3,1.0,23.0,ps,2,12.6,3.68,4.35,1.2,1610.0,42.43,55.0,1.41,34.5,0.58
1:1 CNC/ChNF-Sugino,0.0,23.0,ps,2,18.35,1.48,7.25,0.64,4870.0,0.0,195.0,0.0,40.0,0.0
1:1 CNC/ChNF-Sugino,1.0,23.0,ps,1,8.63,3.21,4.9,1.84,3385.0,120.21,195.0,7.07,58.0,0.0
1:1 CNC/ChNF-Sugino,1.0,23.0,ptfe,1,15.2,0.0,12.0,0.0,2833.33,60.28,223.33,5.77,79.0,0.0
1:1 CNC/ChNF-Sugino,1.0,60.0,ps,1,12.6,0.0,7.8,0.0,5075.0,162.63,320.0,14.14,63.0,0.0
1:1 CNC/Chitosan,1.0,23.0,ps,2,1.54,0.21,0.72,0.08,2075.0,346.48,96.0,8.49,46.83,2.32
1:2 CNC/ChNF-CP-2,1.0,23.0,ps,1,4.6,1.53,1.6,0.57,2623.33,241.32,93.0,6.56,36.0,0.0
1:3 CNC/ChNF-EL,1.0,23.0,ps,2,1.28,0.06,0.48,0.04,1470.0,14.14,49.0,2.83,34.75,2.71
